cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,le,le_mu,le_lambda,le_rot,lj,lj_eps,nj,nj_eps,nj_gamma
0001,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0,1,1.5,true,0,0.005,0,0.01,0.5
0002,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0,1,1.5,true,0,0.005,0,0.01,0.5
0003,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0,0,1,1.5,true,0,0.005,0,0.01,0.5
0004,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0005,0,1,1.5,true,0,0.005,0,0.01,0.5
0005,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0006,0,1,1.5,true,0,0.005,0,0.01,0.5
0006,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0007,0,1,1.5,true,0,0.005,0,0.01,0.5
0007,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0008,0,1,1.5,true,0,0.005,0,0.01,0.5
0008,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0009,0,1,1.5,true,0,0.005,0,0.01,0.5
0009,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0010,0,1,1.5,true,0,0.005,0,0.01,0.5
0010,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0020,0,1,1.5,true,0,0.005,0,0.01,0.5
0011,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0030,0,1,1.5,true,0,0.005,0,0.01,0.5
0012,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0040,0,1,1.5,true,0,0.005,0,0.01,0.5
0013,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0050,0,1,1.5,true,0,0.005,0,0.01,0.5
0014,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0005,0,1,1.5,true,0,0.005,0,0.01,0.5
0015,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0006,0,1,1.5,true,0,0.005,0,0.01,0.5
0016,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0007,0,1,1.5,true,0,0.005,0,0.01,0.5
0017,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0008,0,1,1.5,true,0,0.005,0,0.01,0.5
0018,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0009,0,1,1.5,true,0,0.005,0,0.01,0.5
0019,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0010,0,1,1.5,true,0,0.005,0,0.01,0.5
0020,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0020,0,1,1.5,true,0,0.005,0,0.01,0.5
0021,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0030,0,1,1.5,true,0,0.005,0,0.01,0.5
0022,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0040,0,1,1.5,true,0,0.005,0,0.01,0.5
0023,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0050,0,1,1.5,true,0,0.005,0,0.01,0.5
0024,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0005,0,1,1.5,true,0,0.005,0,0.01,0.5
0025,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0006,0,1,1.5,true,0,0.005,0,0.01,0.5
0026,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0007,0,1,1.5,true,0,0.005,0,0.01,0.5
0027,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0008,0,1,1.5,true,0,0.005,0,0.01,0.5
0028,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0009,0,1,1.5,true,0,0.005,0,0.01,0.5
0029,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0010,0,1,1.5,true,0,0.005,0,0.01,0.5
0030,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0020,0,1,1.5,true,0,0.005,0,0.01,0.5
0031,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0030,0,1,1.5,true,0,0.005,0,0.01,0.5
0032,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0040,0,1,1.5,true,0,0.005,0,0.01,0.5
0033,true,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,300,12,12,0,0,NMI,64,false,5,2.5,0.0050,0,1,1.5,true,0,0.005,0,0.01,0.5
